"January 2, 2018 15:05:22","Market insiders said investors were active on sector-wise large-cap stocks, like Grameenphone, United Power, Lafarge Surma Cement, Square Pharmaceuticals and Islami Bank, which helped the market closed higher.",1
"January 3, 2018 14:50:31","United Power topped the day’s turnover chart for the third day in a row with 2.70 million shares worth Tk 517 million changing hands, followed by Dragon Sweater, Grameenphone, IFAD Autos and Islami Bank. Grameenphone notched the third spot, with shares of Tk 149 million changing hands. The largest market-cap company's share price fell 1.60 per cent to close at Tk 478.20.",0
"January 24, 2018 10:28:44","Top 10 traded companies accounted for more than 40 per cent transactions of the premier bourse Tuesday while Square Pharmaceuticals, Beximco Pharma and Grameenphone dominated the list.Dealers said the fundamentally sound issues like Square Pharma, Grameenphone continued to attract investors as they are anticipating positive quarterly earning declarations.",1
"February 20, 2018 15:56:07",Market insiders said the bourses kept downturn as the largest market cap listed company – Grameenphone’s share plunged 2.74 per cent or Tk 13.90 each to close at Tk 492.80 Tuesday despite the company rolled out 4G.,0
"April 20, 2018 12:26:52","Grameenphone (GP) Limited has organised its 21st Annual General Meeting (AGM) at the International Convention City Bashundhara (ICCB) in the capital.
The board of directors approved 100 per cent cash dividend, making a total dividend of 205 per cent of the paid-up capital, for the year ended 31 December, 2017, says a media release.",1
"April 22, 2018 16:26:01","Beximco continued to dominate the turnover chart with 14.72 million shares worth Tk 467 million changing hands, followed by Al-Afarah Islami Bank, BRAC Bank, Grameenphone and United Power.",0
"April 23, 2018 10:28:42","Grameenphone's net profit fell slightly by 2.50 per cent year-on-year to Tk 6.39 billion in the January-March quarter of 2018, according to the company's financial statement posted on its website. GP's earnings per share (EPS) declined to Tk 4.74 in January-March quarter from Tk 4.86 in the same period a year ago, according to the financial statement.",0
"April 25, 2018 10:26:35","Grameephone (GP), the largest market-cap listed company, dominated the Dhaka bourse's transaction chart Tuesday, while ten top-traded companies accounted for 32 per cent of the total transaction.",1
"April 28, 2018 12:59:42",Grameenphone and DataSoft have signed a Memorandum of Understanding (MoU) to develop comprehensive IoT solutions for businesses that will leverage both DataSoft’sIoT application development capabilities and Grameenphone’s M2M Connectivity Plan and managed IoT Platform.,0
"May 7, 2018 11:51:11","The Grameenphone Accelerator (GPA) launched its 5th batch of startups on its 4-month long programme through a launching event Sunday at GPHouse, said a statement.",1
"June 1, 2018 13:25:36","Grameenphone recently signed agreements with the British Council, in Bangladesh, and Durbin Labs Limited respectively to jointly develop ‘MyStudy’, a mobile learning application for secondary school students of Bangladesh.",1
"June 21, 2018 15:58:50","Grameenphone was the most traded stocks on the DSE turnover chart with shares worth Tk 491 million changing hands, closely followed by Alif Industries, Khulna Power Company, Paramount Textile and United Power.",1
"June 25, 2018 15:38:56","Market insiders said the bourse ended lower as investors booked profit on large-cap stocks like Grameenphone and Square Pharma, United Power.",0
"July 16, 2018 13:36:48","Shares of Grameenphone, the Bangladesh unit of Norway’s Telenor, surged as much as 4.93 per cent to its highest intraday level since Jun 26 on the Dhaka Stock Exchange (DSE).
The company reported that its earnings per share or EPS increased to Tk 8 in the April-June period from Tk 5.87 a year ago, according to an exchange filing. ",1
"July 18, 2018 10:43:48","Grameenphone shares jump on profit growth.Shares of Grameenphone, the Bangladesh unit of Norway’s Telenor, surged as much as 4.93 per cent to its highest intraday level since Jun 26 on the Dhaka Stock Exchange (DSE).

The company reported that its earnings per share or EPS increased to Tk 8 in the April-June period from Tk 5.87 a year ago, according to an exchange filing. ",1
"July 21, 2018 10:44:14","GP, the lone listed mobile phone company, disclosed April-June, 2018 earnings results on Monday last, recommending 125 per cent interim cash dividend for the half year ended on June 30, 2018.",1
